date,company,revenue_growth,profit_margin,debt_to_equity,roe,insider_trades,filing_type,label
2024-10-30,ICICI Bank,12.968025910172246,20.110779323942594,1.0173789986389163,8.611330324103475,1,Quarterly Report,0
2024-08-09,Adani Ports,2.4695993752098584,17.34246478284783,0.3258804369767411,3.2760957988889485,2,Earnings Release,0
2025-04-30,ICICI Bank,7.030650137616334,16.01974446346433,1.069599510543768,17.127321770270008,2,Earnings Release,0
2024-12-13,Reliance,-5.824882615788926,4.231661508741507,1.3990892935838173,15.681901474569742,2,Quarterly Report,0
2024-07-05,Reliance,13.762144370043085,0.567201720451509,1.1575457817607193,10.559873374552566,1,Insider Trade,0
2024-08-30,Wipro,3.5863413133830058,13.961455990266083,1.7072742629073119,7.947299918783778,0,Earnings Release,0
2024-01-22,HDFC Bank,14.816777174842208,27.975669055644808,1.2780420934808503,11.25708550148001,1,Insider Trade,0
2024-07-08,Tata Motors,0.7460038863076219,10.052031895909087,1.6733763056928086,4.010111208251423,2,Insider Trade,0
2024-12-08,Adani Ports,7.845723053717038,20.200324026766637,0.8570458547765127,4.396037089921667,3,Annual Report,0
2024-12-27,Tata Motors,-4.71974910810604,7.033088550595948,3.2574338017297007,-0.35366405841117343,9,Earnings Release,1
2024-08-08,HDFC Bank,1.7362530478228773,0.7319781338892422,3.075681188751885,3.6446541854230956,8,Annual Report,1
2024-01-16,Adani Ports,10.767381204636536,19.249169005386406,1.6165261092909904,14.955038097575912,4,Annual Report,0
2024-08-05,Wipro,4.467378213198291,16.253582618415557,1.2318159429509923,8.065938588107766,2,Insider Trade,0
2024-09-01,Adani Ports,6.368777628167146,3.837722936450783,2.0441518709502082,16.397201602059983,2,Earnings Release,0
2025-04-23,Tata Motors,3.971388298988118,-5.98790949463309,1.1759415359515133,16.179060462779198,3,Annual Report,0
2024-12-02,Infosys,12.945290236585752,15.237547582497513,1.1535450255521538,7.256918773515125,1,Insider Trade,0
2023-09-21,Reliance,2.658289565321261,9.6068494942159,0.9686029309149575,13.820970506633135,3,Earnings Release,0
2024-03-21,Bharti Airtel,7.4142244750141915,17.805970898674985,1.0360253106937902,5.578905522128647,0,Insider Trade,0
2023-10-28,Wipro,2.670358358543554,15.87521040153981,1.895058132024206,9.943132897174372,1,Quarterly Report,0
2025-04-19,Reliance,5.351378657055005,8.161287082403797,0.7585982071805979,14.866660890603757,5,Quarterly Report,0
2024-07-11,Tata Motors,1.5110197079982743,-0.16640730859699993,1.3135139649688374,4.146737848588964,2,Quarterly Report,0
2025-09-08,Infosys,13.075036760186673,18.62245434066853,1.0808526023036251,4.034831320530503,2,Annual Report,0
2024-02-17,Infosys,5.817104144870192,5.49686503988242,0.8474353021983951,13.603307314275124,5,Quarterly Report,0
2024-08-15,Infosys,3.8273126756205746,0.5403343479327702,0.6501980738569513,9.907656649706013,1,Insider Trade,0
2025-04-10,Wipro,4.1396593314280565,10.446207404376537,1.060910174843731,15.333809982961366,6,Annual Report,0
2024-04-05,Infosys,8.289677002676182,9.890113442017258,1.981236325891559,4.725626788879262,3,Quarterly Report,0
2024-09-26,Adani Ports,13.213882427104803,9.431064125970071,0.7732737104116938,16.08610523152229,0,Annual Report,0
2025-06-27,Adani Ports,15.634351089252986,5.012089621822827,0.7892344951174255,17.49901063454476,4,Annual Report,0
2024-03-08,Adani Ports,8.978764708237541,12.370442769867088,0.21238128630752928,9.112992866327343,1,Earnings Release,0
2024-01-09,Reliance,9.314997261551522,-1.0397201620320313,0.23827282360872482,4.041066914783568,1,Earnings Release,0
